ID,Nome,Idade,Sexo,Sobrevivente,Pais e Filhos,Irmãos e Cônjuges,Classe,Passagem,Local de Embarque,Tarifa,Cabine
117,Mr. Patrick Connors,70.5,Masculino,False,0,0,3ª,370369,Queenstown,7.75,
118,Mr. William John Robert Turpin,29.0,Masculino,False,0,1,2ª,11668,Southampton,21.0,
119,Mr. Quigg Edmond Baxter,24.0,Masculino,False,1,0,1ª,PC 17558,Cherbourg,247.5208,B58 B60
120,Miss. Ellis Anna Maria Andersson,2.0,Feminino,False,2,4,3ª,347082,Southampton,31.275,
121,Mr. Stanley George Hickman,21.0,Masculino,False,0,2,2ª,S.O.C. 14879,Southampton,73.5,
122,Mr. Leonard Charles Moore,,Masculino,False,0,0,3ª,A4. 54510,Southampton,8.05,
123,Mr. Nicholas Nasser,32.5,Masculino,False,0,1,2ª,237736,Cherbourg,30.0708,
124,Miss. Susan Webber,32.5,Feminino,True,0,0,2ª,27267,Southampton,13.0,E101
125,Mr. Percival Wayland White,54.0,Masculino,False,1,0,1ª,35281,Southampton,77.2875,D26
126,Master. Elias Nicola-Yarred,12.0,Masculino,True,0,1,3ª,2651,Cherbourg,11.2417,
127,Mr. Martin McMahon,,Masculino,False,0,0,3ª,370372,Queenstown,7.75,
128,Mr. Fridtjof Arne Madsen,24.0,Masculino,True,0,0,3ª,C 17369,Southampton,7.1417,
129,Miss. Anna Peter,,Feminino,True,1,1,3ª,2668,Cherbourg,22.3583,F E69
130,Mr. Johan Ekstrom,45.0,Masculino,False,0,0,3ª,347061,Southampton,6.975,
131,Mr. Jozef Drazenoic,33.0,Masculino,False,0,0,3ª,349241,Cherbourg,7.8958,
132,Mr. Domingos Fernandeo Coelho,20.0,Masculino,False,0,0,3ª,SOTON/O.Q. 3101307,Southampton,7.05,
133,Mrs. Alexander A (Grace Charity Laury) Robins,47.0,Feminino,False,0,1,3ª,A/5. 3337,Southampton,14.5,
134,Mrs. Leopold (Mathilde Francoise Pede) Weisz,29.0,Feminino,True,0,1,2ª,228414,Southampton,26.0,
135,Mr. Samuel James Hayden Sobey,25.0,Masculino,False,0,0,2ª,C.A. 29178,Southampton,13.0,
136,Mr. Emile Richard,23.0,Masculino,False,0,0,2ª,SC/PARIS 2133,Cherbourg,15.0458,
137,Miss. Helen Monypeny Newsom,19.0,Feminino,True,2,0,1ª,11752,Southampton,26.2833,D47
138,Mr. Jacques Heath Futrelle,37.0,Masculino,False,0,1,1ª,113803,Southampton,53.1,C123
139,Mr. Olaf Elon Osen,16.0,Masculino,False,0,0,3ª,7534,Southampton,9.2167,
140,Mr. Victor Giglio,24.0,Masculino,False,0,0,1ª,PC 17593,Cherbourg,79.2,B86
141,Mrs. Joseph (Sultana) Boulos,,Feminino,False,2,0,3ª,2678,Cherbourg,15.2458,
142,Miss. Anna Sofia Nysten,22.0,Feminino,True,0,0,3ª,347081,Southampton,7.75,
143,Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,24.0,Feminino,True,0,1,3ª,STON/O2. 3101279,Southampton,15.85,
144,Mr. Jeremiah Burke,19.0,Masculino,False,0,0,3ª,365222,Queenstown,6.75,
145,Mr. Edgardo Samuel Andrew,18.0,Masculino,False,0,0,2ª,231945,Southampton,11.5,
146,Mr. Joseph Charles Nicholls,19.0,Masculino,False,1,1,2ª,C.A. 33112,Southampton,36.75,
147,"Mr. August Edvard (""Wennerstrom"") Andersson",27.0,Masculino,True,0,0,3ª,350043,Southampton,7.7958,
148,"Miss. Robina Maggie ""Ruby"" Ford",9.0,Feminino,False,2,2,3ª,W./C. 6608,Southampton,34.375,
149,"Mr. Michel (""Louis M Hoffman"") Navratil",36.5,Masculino,False,2,0,2ª,230080,Southampton,26.0,F2
150,Rev. Thomas Roussel Davids Byles,42.0,Masculino,False,0,0,2ª,244310,Southampton,13.0,
151,Rev. Robert James Bateman,51.0,Masculino,False,0,0,2ª,S.O.P. 1166,Southampton,12.525,
152,Mrs. Thomas (Edith Wearne) Pears,22.0,Feminino,True,0,1,1ª,113776,Southampton,66.6,C2
153,Mr. Alfonzo Meo,55.5,Masculino,False,0,0,3ª,A.5. 11206,Southampton,8.05,
154,Mr. Austin Blyler van Billiard,40.5,Masculino,False,2,0,3ª,A/5. 851,Southampton,14.5,
155,Mr. Ole Martin Olsen,,Masculino,False,0,0,3ª,Fa 265302,Southampton,7.3125,
156,Mr. Charles Duane Williams,51.0,Masculino,False,1,0,1ª,PC 17597,Cherbourg,61.3792,
157,"Miss. Katherine ""Katie"" Gilnagh",16.0,Feminino,True,0,0,3ª,35851,Queenstown,7.7333,
158,Mr. Harry Corn,30.0,Masculino,False,0,0,3ª,SOTON/OQ 392090,Southampton,8.05,
159,Mr. Mile Smiljanic,,Masculino,False,0,0,3ª,315037,Southampton,8.6625,
160,Master. Thomas Henry Sage,,Masculino,False,2,8,3ª,CA. 2343,Southampton,69.55,
161,Mr. John Hatfield Cribb,44.0,Masculino,False,1,0,3ª,371362,Southampton,16.1,
162,"Mrs. James (Elizabeth ""Bessie"" Inglis Milne) Watt",40.0,Feminino,True,0,0,2ª,C.A. 33595,Southampton,15.75,
163,Mr. John Viktor Bengtsson,26.0,Masculino,False,0,0,3ª,347068,Southampton,7.775,
164,Mr. Jovo Calic,17.0,Masculino,False,0,0,3ª,315093,Southampton,8.6625,
165,Master. Eino Viljami Panula,1.0,Masculino,False,1,4,3ª,3101295,Southampton,39.6875,
166,"Master. Frank John William ""Frankie"" Goldsmith",9.0,Masculino,True,2,0,3ª,363291,Southampton,20.525,
167,Mrs. (Edith Martha Bowerman) Chibnall,,Feminino,True,1,0,1ª,113505,Southampton,55.0,E33
168,Mrs. William (Anna Bernhardina Karlsson) Skoog,45.0,Feminino,False,4,1,3ª,347088,Southampton,27.9,
169,Mr. John D Baumann,,Masculino,False,0,0,1ª,PC 17318,Southampton,25.925,
170,Mr. Lee Ling,28.0,Masculino,False,0,0,3ª,1601,Southampton,56.4958,
171,Mr. Wyckoff Van der hoef,61.0,Masculino,False,0,0,1ª,111240,Southampton,33.5,B19
172,Master. Arthur Rice,4.0,Masculino,False,1,4,3ª,382652,Queenstown,29.125,
173,Miss. Eleanor Ileen Johnson,1.0,Feminino,True,1,1,3ª,347742,Southampton,11.1333,
174,Mr. Antti Wilhelm Sivola,21.0,Masculino,False,0,0,3ª,STON/O 2. 3101280,Southampton,7.925,
175,Mr. James Clinch Smith,56.0,Masculino,False,0,0,1ª,17764,Cherbourg,30.6958,A7
176,Mr. Klas Albin Klasen,18.0,Masculino,False,1,1,3ª,350404,Southampton,7.8542,
177,Master. Henry Forbes Lefebre,,Masculino,False,1,3,3ª,4133,Southampton,25.4667,
178,Miss. Ann Elizabeth Isham,50.0,Feminino,False,0,0,1ª,PC 17595,Cherbourg,28.7125,C49
179,Mr. Reginald Hale,30.0,Masculino,False,0,0,2ª,250653,Southampton,13.0,
180,Mr. Lionel Leonard,36.0,Masculino,False,0,0,3ª,LINE,Southampton,0.0,
181,Miss. Constance Gladys Sage,,Feminino,False,2,8,3ª,CA. 2343,Southampton,69.55,
182,Mr. Rene Pernot,,Masculino,False,0,0,2ª,SC/PARIS 2131,Cherbourg,15.05,
183,Master. Clarence Gustaf Hugo Asplund,9.0,Masculino,False,2,4,3ª,347077,Southampton,31.3875,
184,Master. Richard F Becker,1.0,Masculino,True,1,2,2ª,230136,Southampton,39.0,F4
185,Miss. Luise Gretchen Kink-Heilmann,4.0,Feminino,True,2,0,3ª,315153,Southampton,22.025,
186,Mr. Hugh Roscoe Rood,,Masculino,False,0,0,1ª,113767,Southampton,50.0,A32
187,"Mrs. Thomas (Johanna ""Hannah"" Godfrey) O'Brien",,Feminino,True,0,1,3ª,370365,Queenstown,15.5,
188,"Mr. Charles Hallace (""Mr C Rolmane"") Romaine",45.0,Masculino,True,0,0,1ª,111428,Southampton,26.55,
189,Mr. John Bourke,40.0,Masculino,False,1,1,3ª,364849,Queenstown,15.5,
190,Mr. Stjepan Turcin,36.0,Masculino,False,0,0,3ª,349247,Southampton,7.8958,
191,Mrs. (Rosa) Pinsky,32.0,Feminino,True,0,0,2ª,234604,Southampton,13.0,
192,Mr. William Carbines,19.0,Masculino,False,0,0,2ª,28424,Southampton,13.0,
193,Miss. Carla Christine Nielsine Andersen-Jensen,19.0,Feminino,True,0,1,3ª,350046,Southampton,7.8542,
194,Master. Michel M Navratil,3.0,Masculino,True,1,1,2ª,230080,Southampton,26.0,F2
195,Mrs. James Joseph (Margaret Tobin) Brown,44.0,Feminino,True,0,0,1ª,PC 17610,Cherbourg,27.7208,B4
196,Miss. Elise Lurette,58.0,Feminino,True,0,0,1ª,PC 17569,Cherbourg,146.5208,B80
197,Mr. Robert Mernagh,,Masculino,False,0,0,3ª,368703,Queenstown,7.75,
198,Mr. Karl Siegwart Andreas Olsen,42.0,Masculino,False,1,0,3ª,4579,Southampton,8.4042,
199,"Miss. Margaret ""Maggie"" Madigan",,Feminino,True,0,0,3ª,370370,Queenstown,7.75,
200,"Miss. Henriette (""Mrs Harbeck"") Yrois",24.0,Feminino,False,0,0,2ª,248747,Southampton,13.0,
201,Mr. Nestor Cyriel Vande Walle,28.0,Masculino,False,0,0,3ª,345770,Southampton,9.5,
202,Mr. Frederick Sage,,Masculino,False,2,8,3ª,CA. 2343,Southampton,69.55,
203,Mr. Jakob Alfred Johanson,34.0,Masculino,False,0,0,3ª,3101264,Southampton,6.4958,
204,Mr. Gerious Youseff,45.5,Masculino,False,0,0,3ª,2628,Cherbourg,7.225,
205,"Mr. Gurshon ""Gus"" Cohen",18.0,Masculino,True,0,0,3ª,A/5 3540,Southampton,8.05,
206,Miss. Telma Matilda Strom,2.0,Feminino,False,1,0,3ª,347054,Southampton,10.4625,G6
207,Mr. Karl Alfred Backstrom,32.0,Masculino,False,0,1,3ª,3101278,Southampton,15.85,
208,Mr. Nassef Cassem Albimona,26.0,Masculino,True,0,0,3ª,2699,Cherbourg,18.7875,
209,"Miss. Helen ""Ellen"" Carr",16.0,Feminino,True,0,0,3ª,367231,Queenstown,7.75,
210,Mr. Henry Blank,40.0,Masculino,True,0,0,1ª,112277,Cherbourg,31.0,A31
211,Mr. Ahmed Ali,24.0,Masculino,False,0,0,3ª,SOTON/O.Q. 3101311,Southampton,7.05,
212,Miss. Clear Annie Cameron,35.0,Feminino,True,0,0,2ª,F.C.C. 13528,Southampton,21.0,
213,Mr. John Henry Perkin,22.0,Masculino,False,0,0,3ª,A/5 21174,Southampton,7.25,
214,Mr. Hans Kristensen Givard,30.0,Masculino,False,0,0,2ª,250646,Southampton,13.0,
215,Mr. Philip Kiernan,,Masculino,False,0,1,3ª,367229,Queenstown,7.75,
216,Miss. Madeleine Newell,31.0,Feminino,True,0,1,1ª,35273,Cherbourg,113.275,D36
217,Miss. Eliina Honkanen,27.0,Feminino,True,0,0,3ª,STON/O2. 3101283,Southampton,7.925,
218,Mr. Sidney Samuel Jacobsohn,42.0,Masculino,False,0,1,2ª,243847,Southampton,27.0,
219,Miss. Albina Bazzani,32.0,Feminino,True,0,0,1ª,11813,Cherbourg,76.2917,D15
220,Mr. Walter Harris,30.0,Masculino,False,0,0,2ª,W/C 14208,Southampton,10.5,
221,Mr. Victor Francis Sunderland,16.0,Masculino,True,0,0,3ª,SOTON/OQ 392089,Southampton,8.05,
222,Mr. James H Bracken,27.0,Masculino,False,0,0,2ª,220367,Southampton,13.0,
223,Mr. George Henry Green,51.0,Masculino,False,0,0,3ª,21440,Southampton,8.05,
224,Mr. Christo Nenkoff,,Masculino,False,0,0,3ª,349234,Southampton,7.8958,
225,Mr. Frederick Maxfield Hoyt,38.0,Masculino,True,0,1,1ª,19943,Southampton,90.0,C93
226,Mr. Karl Ivar Sven Berglund,22.0,Masculino,False,0,0,3ª,PP 4348,Southampton,9.35,
227,Mr. William John Mellors,19.0,Masculino,True,0,0,2ª,SW/PP 751,Southampton,10.5,
228,"Mr. John Hall (""Henry"") Lovell",20.5,Masculino,False,0,0,3ª,A/5 21173,Southampton,7.25,
229,Mr. Arne Jonas Fahlstrom,18.0,Masculino,False,0,0,2ª,236171,Southampton,13.0,
230,Miss. Mathilde Lefebre,,Feminino,False,1,3,3ª,4133,Southampton,25.4667,
231,Mrs. Henry Birkhardt (Irene Wallach) Harris,35.0,Feminino,True,0,1,1ª,36973,Southampton,83.475,C83
232,Mr. Bengt Edvin Larsson,29.0,Masculino,False,0,0,3ª,347067,Southampton,7.775,
233,Mr. Ernst Adolf Sjostedt,59.0,Masculino,False,0,0,2ª,237442,Southampton,13.5,
234,Miss. Lillian Gertrud Asplund,5.0,Feminino,True,2,4,3ª,347077,Southampton,31.3875,
235,Mr. Robert William Norman Leyson,24.0,Masculino,False,0,0,2ª,C.A. 29566,Southampton,10.5,
236,Miss. Alice Phoebe Harknett,,Feminino,False,0,0,3ª,W./C. 6609,Southampton,7.55,
237,Mr. Stephen Hold,44.0,Masculino,False,0,1,2ª,26707,Southampton,26.0,
238,"Miss. Marjorie ""Lottie"" Collyer",8.0,Feminino,True,2,0,2ª,C.A. 31921,Southampton,26.25,
239,Mr. Frederick William Pengelly,19.0,Masculino,False,0,0,2ª,28665,Southampton,10.5,
240,Mr. George Henry Hunt,33.0,Masculino,False,0,0,2ª,SCO/W 1585,Southampton,12.275,
241,Miss. Thamine Zabour,,Feminino,False,0,1,3ª,2665,Cherbourg,14.4542,
242,"Miss. Katherine ""Kate"" Murphy",,Feminino,True,0,1,3ª,367230,Queenstown,15.5,
243,Mr. Reginald Charles Coleridge,29.0,Masculino,False,0,0,2ª,W./C. 14263,Southampton,10.5,
244,Mr. Matti Alexanteri Maenpaa,22.0,Masculino,False,0,0,3ª,STON/O 2. 3101275,Southampton,7.125,
245,Mr. Sleiman Attalah,30.0,Masculino,False,0,0,3ª,2694,Cherbourg,7.225,
246,Dr. William Edward Minahan,44.0,Masculino,False,0,2,1ª,19928,Queenstown,90.0,C78
247,Miss. Agda Thorilda Viktoria Lindahl,25.0,Feminino,False,0,0,3ª,347071,Southampton,7.775,
248,Mrs. William (Anna) Hamalainen,24.0,Feminino,True,2,0,2ª,250649,Southampton,14.5,
249,Mr. Richard Leonard Beckwith,37.0,Masculino,True,1,1,1ª,11751,Southampton,52.5542,D35
250,Rev. Ernest Courtenay Carter,54.0,Masculino,False,0,1,2ª,244252,Southampton,26.0,
251,Mr. James George Reed,,Masculino,False,0,0,3ª,362316,Southampton,7.25,
252,Mrs. Wilhelm (Elna Matilda Persson) Strom,29.0,Feminino,False,1,1,3ª,347054,Southampton,10.4625,G6
253,Mr. William Thomas Stead,62.0,Masculino,False,0,0,1ª,113514,Southampton,26.55,C87
254,Mr. William Arthur Lobb,30.0,Masculino,False,0,1,3ª,A/5. 3336,Southampton,16.1,
255,Mrs. Viktor (Helena Wilhelmina) Rosblom,41.0,Feminino,False,2,0,3ª,370129,Southampton,20.2125,
256,Mrs. Darwis (Hanne Youssef Razi) Touma,29.0,Feminino,True,2,0,3ª,2650,Cherbourg,15.2458,
257,Mrs. Gertrude Maybelle Thorne,,Feminino,True,0,0,1ª,PC 17585,Cherbourg,79.2,
258,Miss. Gladys Cherry,30.0,Feminino,True,0,0,1ª,110152,Southampton,86.5,B77
259,Miss. Anna Ward,35.0,Feminino,True,0,0,1ª,PC 17755,Cherbourg,512.3292,
260,Mrs. (Lutie Davis) Parrish,50.0,Feminino,True,1,0,2ª,230433,Southampton,26.0,
